"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","meta_info_Browser","meta_info_Version","meta_info_Operating.System","meta_info_Resolution","do_you_consent","Q16","Q20","X1_Q6","X2_Q6","X3_Q6","X4_Q6","X5_Q6","X6_Q6","X7_Q6","X8_Q6","X9_Q6","X10_Q6","X11_Q6","X12_Q6","X13_Q6","X14_Q6","X15_Q6","X16_Q6","X17_Q6","X18_Q6","X19_Q6","X20_Q6","X1_Q8","X2_Q8","X3_Q8","X4_Q8","X5_Q8","X6_Q8","X7_Q8","X8_Q8","X9_Q8","X10_Q8","X11_Q8","X12_Q8","X13_Q8","X14_Q8","seed","PROLIFIC_PID","STUDY_ID","SESSION_ID","total_trials","budget","TotalTrialsSingle","TotalTrialsMultiple","COMP_CODE","trial_index_map_single","trial_index_map_multiple","vis","phrasing","FL_9_DO"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Distribution Channel","User Language","Q_RecaptchaScore","Click to write the question text - Browser","Click to write the question text - Version","Click to write the question text - Operating System","Click to write the question text - Resolution","By clicking on ""Yes"" below, you indicate that you have understood the Information Sheet and agree to participate in this study.","What is the probability that the temperature falls below 66°F?
(Please provide a number between 0 and 100, and do not add a ""%"" to your response)","What is the probability that the temperature falls below 68°F?","1 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","2 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","3 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","4 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","5 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","6 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","7 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","8 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","9 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","10 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","11 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","12 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","13 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","14 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","15 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","16 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","17 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","18 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","19 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","20 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","1 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","2 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","3 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","4 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","5 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","6 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","7 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","8 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","9 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","10 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","11 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","12 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","13 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","14 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","seed","97b2d133","STUDY_ID","SESSION_ID","total_trials","budget","TotalTrialsSingle","TotalTrialsMultiple","COMP_CODE","trial_index_map_single","trial_index_map_multiple","vis","phrasing","FL_9 - Block Randomizer - Display Order"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2_BROWSER""}","{""ImportId"":""QID2_VERSION""}","{""ImportId"":""QID2_OS""}","{""ImportId"":""QID2_RESOLUTION""}","{""ImportId"":""QID3""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""1_QID6""}","{""ImportId"":""2_QID6""}","{""ImportId"":""3_QID6""}","{""ImportId"":""4_QID6""}","{""ImportId"":""5_QID6""}","{""ImportId"":""6_QID6""}","{""ImportId"":""7_QID6""}","{""ImportId"":""8_QID6""}","{""ImportId"":""9_QID6""}","{""ImportId"":""10_QID6""}","{""ImportId"":""11_QID6""}","{""ImportId"":""12_QID6""}","{""ImportId"":""13_QID6""}","{""ImportId"":""14_QID6""}","{""ImportId"":""15_QID6""}","{""ImportId"":""16_QID6""}","{""ImportId"":""17_QID6""}","{""ImportId"":""18_QID6""}","{""ImportId"":""19_QID6""}","{""ImportId"":""20_QID6""}","{""ImportId"":""1_QID8""}","{""ImportId"":""2_QID8""}","{""ImportId"":""3_QID8""}","{""ImportId"":""4_QID8""}","{""ImportId"":""5_QID8""}","{""ImportId"":""6_QID8""}","{""ImportId"":""7_QID8""}","{""ImportId"":""8_QID8""}","{""ImportId"":""9_QID8""}","{""ImportId"":""10_QID8""}","{""ImportId"":""11_QID8""}","{""ImportId"":""12_QID8""}","{""ImportId"":""13_QID8""}","{""ImportId"":""14_QID8""}","{""ImportId"":""seed""}","828a7158","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""total_trials""}","{""ImportId"":""budget""}","{""ImportId"":""TotalTrialsSingle""}","{""ImportId"":""TotalTrialsMultiple""}","{""ImportId"":""COMP_CODE""}","{""ImportId"":""trial_index_map_single""}","{""ImportId"":""trial_index_map_multiple""}","{""ImportId"":""vis""}","{""ImportId"":""phrasing""}","{""ImportId"":""FL_9_DO""}"
"2024-09-12 15:08:39","2024-09-12 15:09:19","IP Address","100","40","True","2024-09-12 15:09:20","R_1lX4eqT0C5Kiwxu","anonymous","EN","1","Chrome","128.0.0.0","Macintosh","1512x982","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1168","c77a86d2","66e3484fc1e6f6e4818b08d0","01p3y4sv2ygoi","30","18000","18","12","CK3LYXU8","","","ensembles","reliable","FL_26"
"2024-09-12 15:06:36","2024-09-12 15:10:46","Survey Preview","100","249","True","2024-09-12 15:10:47","R_6rdDDZzTcmKPFsD","preview","EN","1","Chrome","126.0.0.0","Macintosh","1440x900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5558",NA,"","","30","-2000","18","12","CK3LYXU8","[18,15,5,3,12,4,17,10,6,2,1,101,9,16,102,7,8,14,11,13]","[3,11,2,6,1,10,101,8,4,102,5,12,7,9]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:24:02","2024-09-12 15:28:48","IP Address","100","286","True","2024-09-12 15:28:49","R_6eFxCjSzyCJwF53","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1707x960","Yes","30","70","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","5637","58f5d869","66e3484fc1e6f6e4818b08d0","66e35bed31dd343eecc744be","30","5000","18","12","CK3LYXU8","[4,11,16,3,9,15,101,6,7,13,14,2,1,102,12,17,10,18,5,8]","[8,11,102,10,2,9,101,1,7,3,12,5,4,6]","ensembles","reliable","FL_26"
"2024-09-12 15:23:21","2024-09-12 15:29:01","IP Address","100","339","True","2024-09-12 15:29:01","R_6oIGp4InCx6CjSx","anonymous","EN","1","Edge","128.0.0.0","Windows NT 10.0","1366x768","Yes","30","70","No","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes","7646","44f7e636","66e3484fc1e6f6e4818b08d0","66e35bbddb7a28b800c09f7f","30","5000","18","12","CK3LYXU8","[16,3,13,15,9,11,18,5,8,12,101,2,10,7,102,4,17,14,6,1]","[6,2,8,102,7,12,5,10,101,3,11,9,4,1]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:24:59","2024-09-12 15:33:32","IP Address","100","513","True","2024-09-12 15:33:33","R_51sXaKfapwstnH7","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","890","2059059d","66e3484fc1e6f6e4818b08d0","66e35c225077a84914fd1236","30","3000","18","12","CK3LYXU8","[11,16,101,6,14,2,8,5,1,7,18,17,15,102,9,10,4,13,12,3]","[4,1,9,7,102,10,12,5,6,101,3,11,8,2]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:26:39","2024-09-12 15:34:12","IP Address","100","453","True","2024-09-12 15:34:13","R_7QoAcj8JSisuGxi","anonymous","EN","1","Safari","17.6","Macintosh","1440x900","Yes","30","70","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No","7227","9668fc30","66e3484fc1e6f6e4818b08d0","66e35c85449dc2baf0d07224","30","0","18","12","CK3LYXU8","[18,15,17,16,101,2,1,3,10,9,14,5,102,8,12,7,11,6,4,13]","[1,2,12,101,5,11,8,102,6,10,7,4,3,9]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:25:37","2024-09-12 15:34:15","IP Address","100","517","True","2024-09-12 15:34:15","R_173Yumvmmqdoy1W","anonymous","EN","1","Opera","112.0.0.0","Windows NT 10.0","1920x1080","Yes","30%","70","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","2040","fe9c3093","66e3484fc1e6f6e4818b08d0","66e35c484bc40251bdd06211","30","5000","18","12","CK3LYXU8","[1,12,10,2,8,7,15,6,3,102,18,9,11,16,13,101,17,14,4,5]","[11,4,1,10,5,6,101,7,8,102,2,9,12,3]","ensembles","reliable","FL_26"
"2024-09-12 15:25:21","2024-09-12 15:34:41","IP Address","100","560","True","2024-09-12 15:34:42","R_673mvbzJ8nzwYo1","anonymous","EN","1","Firefox","115.0","Macintosh","1440x900","Yes","30","70","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","6253","6713e43a","66e3484fc1e6f6e4818b08d0","66e35c39a61ef29e750c33c9","30","3000","18","12","CK3LYXU8","[12,6,16,11,7,10,101,2,9,13,5,14,3,8,102,17,4,15,1,18]","[7,4,9,6,8,101,2,5,102,11,3,10,1,12]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:27:52","2024-09-12 15:40:53","IP Address","100","780","True","2024-09-12 15:40:54","R_11unHErmBF3YLTR","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1536x864","Yes","50","70","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","3179","954e3943","66e3484fc1e6f6e4818b08d0","66e35cc19e921b7d324d1a5b","30","1000","18","12","CK3LYXU8","[9,3,15,17,6,5,7,13,102,18,10,8,101,1,2,14,4,12,16,11]","[9,6,102,3,5,4,12,101,1,10,2,8,11,7]","ensembles","reliable","FL_26"
"2024-09-12 15:39:51","2024-09-12 15:44:37","IP Address","100","286","True","2024-09-12 15:44:38","R_5KmaHtKQD2TUMMz","anonymous","EN","1","Firefox","129.0","Macintosh","1440x900","Yes","30","70","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","4810","41ef3f46","66e3484fc1e6f6e4818b08d0","66e35f97fbea570bcd437ced","30","2000","18","12","C1OSMFWY","[17,5,13,101,8,2,3,10,9,15,4,16,14,1,102,18,11,6,7,12]","[12,5,101,10,2,3,102,6,1,9,7,11,4,8]","ensembles","reliable","FL_26"
"2024-09-12 15:34:06","2024-09-12 15:47:08","IP Address","100","782","True","2024-09-12 15:47:09","R_3iX4e0JGgH6dVZ6","anonymous","EN","1","Firefox","130.0","Windows NT 10.0","1707x1067","Yes","30","40","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","3549","49ab4ff8","66e3484fc1e6f6e4818b08d0","66e35e41cc0164a5a6340ab1","30","-10000","18","12","CK3LYXU8","[16,3,12,7,5,13,102,15,14,10,2,9,8,101,18,4,11,6,1,17]","[8,3,102,5,9,6,10,11,101,2,7,4,1,12]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:28:31","2024-09-12 15:47:26","IP Address","100","1135","True","2024-09-12 15:47:26","R_3do2jVklAStGjrO","anonymous","EN","1","Chrome","128.0.0.0","Windows NT 10.0","1536x864","Yes","30%","70%","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","205","99ec06b5","66e3484fc1e6f6e4818b08d0","66e35c9ba368fd488baf1923","30","11000","18","12","CK3LYXU8","[15,18,102,14,12,8,101,2,5,4,9,13,6,7,3,17,11,16,10,1]","[8,12,101,5,9,3,4,102,2,6,11,10,7,1]","ensembles","equally_reliable","FL_11"
"2024-09-12 15:39:11","2024-09-12 15:47:32","IP Address","100","500","True","2024-09-12 15:47:33","R_3LMPaW6TRsgSv0j","anonymous","EN","1","Edge","128.0.0.0","Windows NT 10.0","1920x1080","Yes","30","70","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","3608","18c49769","66e3484fc1e6f6e4818b08d0","66e35f785c8e43a2e29cefd3","30","9000","18","12","C1OSMFWY","[12,9,102,8,11,14,10,18,15,3,5,13,101,6,7,4,16,17,1,2]","[7,5,9,8,6,101,3,4,12,102,10,11,1,2]","ensembles","equally_reliable","FL_11"
